2022-03-25 13:07:40.252|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getOneImpressions
2022-03-25 13:07:40.252|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[11, org.apache.catalina.connector.RequestFacade@3f21305e]
2022-03-25 13:07:44.970|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.c.ImpressionsController-从redis中拿到的心得数据
2022-03-25 13:07:45.052|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:45.052
2022-03-25 13:07:45.052|[http-nio-0.0.0.0-8002-exec-4]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：4800
2022-03-25 13:07:49.742|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:07:49.742
2022-03-25 13:07:49.742|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:07:49.742|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:07:49.742|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getOneImpressions
2022-03-25 13:07:49.742|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[13, org.apache.catalina.connector.RequestFacade@3f21305e]
2022-03-25 13:07:49.770|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.c.ImpressionsController-从redis中拿到的心得数据
2022-03-25 13:07:49.848|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求结束时间：2022-03-25 13:07:49.848
2022-03-25 13:07:49.848|[http-nio-0.0.0.0-8002-exec-5]|INFO |c.t.a.w.annotation.LogCostTime-请求耗时：106
2022-03-25 13:09:06.245|[http-nio-0.0.0.0-8002-exec-7]|INFO |c.t.a.c.UserController-用户登录成功：4
2022-03-25 13:09:06.319|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求时间：2022-03-25 13:09:06.319
2022-03-25 13:09:06.319|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求IP：192.168.10.25
2022-03-25 13:09:06.319|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求用户：oBfby4h_1hj7bP3cNTnPesDkZYU0
2022-03-25 13:09:06.319|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求方式：GET，方法：getActivities
2022-03-25 13:09:06.319|[http-nio-0.0.0.0-8002-exec-8]|INFO |c.t.a.w.annotation.LogCostTime-请求参数：[0, 4]
